date,nbikes,tmpc,relh,vsby,sknt,drct,holiday,PRCP,TAVG,dry day,phenomenon,weekday,daylight_hrs
2020-01-02,156,6.208333333333333,88.10374999999998,6.029166666666665,18.791666666666668,231.66666666666666,False,0.3,6.2,0,,Thursday,6.544736711609164
2020-01-03,116,6.333333333333333,84.77166666666668,5.302083333333331,16.875,257.0833333333333,False,1.8,6.3,0,Light rain,Friday,6.570688225335968
2020-01-11,290,5.333333333333333,92.09958333333334,5.314999999999998,18.625,210.41666666666666,False,0.3,5.0,0,Light drizzle,Saturday,6.849079503639098
2020-01-13,534,4.25,93.28958333333333,6.209999999999998,10.0,195.41666666666666,False,1.0,4.2,0,,Monday,6.936836024555344
2020-01-14,400,6.958333333333333,90.81124999999999,5.496666666666665,16.916666666666668,190.0,False,3.3,6.7,0,Light rain,Tuesday,6.983195146470122
2020-01-15,495,7.583333333333333,89.51416666666664,5.967083333333331,17.083333333333332,226.25,False,5.1,7.7,0,,Wednesday,7.03114670551765
2020-01-16,530,6.458333333333333,88.92124999999999,6.209999999999998,15.083333333333334,214.16666666666666,False,0.5,6.6,0,,Thursday,7.080644285316608
2020-01-17,473,6.541666666666665,89.4908333333333,5.561249999999998,9.666666666666666,178.75,False,0.0,6.5,1,,Friday,7.131641381112902
2020-01-18,148,5.708333333333333,93.39125,6.132499999999999,13.416666666666666,241.66666666666666,False,0.8,5.9,0,,Saturday,7.184091525960697
2020-01-19,218,4.416666666666667,81.03625000000002,6.209999999999998,7.5,291.6666666666667,False,2.5,4.3,0,,Sunday,7.237948408727163
2020-01-20,476,6.249999999999999,92.0445833333333,6.209999999999998,14.625,252.5,False,0.0,6.1,1,,Monday,7.293165983769169
2020-01-21,488,6.833333333333333,88.06374999999998,5.925833333333332,19.291666666666668,263.3333333333333,False,0.5,6.9,0,,Tuesday,7.349698572224487
2020-01-22,503,4.416666666666666,87.08625000000002,5.116249999999998,8.875,263.75,False,0.3,4.6,0,,Wednesday,7.407500954947876
2020-01-23,438,5.791666666666667,97.47958333333331,4.468749999999999,13.916666666666666,249.58333333333334,False,0.8,5.6,0,,Thursday,7.466528457195224
2020-01-24,491,6.083333333333333,94.78874999999998,5.907499999999999,13.5,254.16666666666666,False,1.5,6.2,0,,Friday,7.526737025225273
2020-01-25,206,5.541666666666667,94.43625000000002,5.7087499999999975,10.625,245.0,False,0.0,5.6,1,Light drizzle,Saturday,7.588083295043448
2020-01-26,198,5.291666666666667,95.82499999999997,5.344583333333333,11.75,213.33333333333334,False,0.3,5.4,0,,Sunday,7.650524653555946
2020-01-27,435,5.791666666666667,93.38624999999996,4.627083333333332,10.375,178.33333333333334,False,0.0,5.7,1,Light rain,Monday,7.714019292441432
2020-01-28,453,5.083333333333333,95.5270833333333,4.780833333333332,10.333333333333334,150.83333333333334,False,1.5,5.2,0,Light rain,Tuesday,7.778526255073098
2020-01-29,499,5.208333333333333,90.53958333333331,6.209999999999998,13.291666666666666,253.75,False,1.8,5.3,0,Light rain,Wednesday,7.844005476846378
2020-01-30,468,4.416666666666667,96.89791666666667,4.588333333333333,5.25,152.5,False,1.3,4.4,0,Light rain,Thursday,7.910417819281555
2020-01-31,458,6.833333333333333,95.09583333333332,4.435833333333332,11.583333333333334,245.83333333333334,False,0.0,6.8,1,,Friday,7.977725098276632
2020-02-01,251,7.583333333333333,94.84375,5.149583333333331,19.166666666666668,240.83333333333334,False,1.0,7.7,0,,Saturday,8.045890106891544
2020-02-02,171,4.625,77.29375,6.209999999999998,12.958333333333334,279.5833333333333,False,0.8,4.5,0,,Sunday,8.114876633040168
2020-02-03,554,3.6666666666666665,92.43416666666667,5.8474999999999975,7.708333333333333,198.33333333333334,False,0.0,3.6,1,Light rain,Monday,8.184649472462885
2020-02-11,495,3.4166666666666665,91.08291666666669,5.382083333333331,15.541666666666666,242.5,False,1.8,3.3,0,,Tuesday,8.76725092398752
